label,youtube_id,time_start,time_end,split,is_cc
abseiling,7QmDey_cO4w,80,90,train,0
abseiling,82w0ItR1h1E,0,10,train,0
abseiling,eoMia0xjLbI,337,347,train,0
abseiling,ErjS2QzJClk,120,130,train,0
abseiling,HsVpU3K3rrU,82,92,train,0
abseiling,jiIeO7e9OKs,60,70,train,0
abseiling,lXnebafO2cI,2145,2155,train,0
abseiling,OtuAgLz9SWo,150,160,train,1
abseiling,oWg0KUcNx4g,175,185,train,0
abseiling,PGR-BiZI6L8,122,132,train,0
abseiling,QOFN7851f8k,473,483,train,0
abseiling,Up3QyxTO16k,13,23,train,0
abseiling,uvXZq8F79yo,113,123,train,0
abseiling,VV6hivQSpAA,84,94,train,0
abseiling,We8FTzltsN0,57,67,train,0
abseiling,wL3gh8PxdnM,1373,1383,train,0
abseiling,zQ8G8D52KG8,38,48,train,0
abseiling,ZThx102f-kc,185,195,train,0
"air drumming",-gw9DlQGiNo,11,21,train,0
"air drumming",0y7ghpYAemM,11,21,train,0
"air drumming",2vwcfWO0bR4,7,17,train,0
"air drumming",5tF9Rt2uFtw,94,104,train,0
"air drumming",6xvmDUJ8xIU,30,40,train,0
"air drumming",aMsekgcF9Ew,171,181,train,0
"air drumming",b01R2PR3mR8,13,23,train,0
"air drumming",bV607Wtkn90,200,210,train,0
"air drumming",CUxsn4YXksI,119,129,train,0
"air drumming",cXY4ENE36Jo,209,219,train,0
"air drumming",g9B6y96dyJk,3,13,train,0
"air drumming",hyXpGBzVWFM,50,60,train,0
"air drumming",IF95d4usZhY,1,11,train,0
"air drumming",iyM_30KH7F8,37,47,train,0
"air drumming",JufW6wqyYeQ,39,49,train,0
"air drumming",kt_B-Ujgugg,215,225,train,0
"air drumming",MjvfDhB0XK0,71,81,train,1
"air drumming",NoGfPOHKKEI,5,15,train,0
"air drumming",O5mwS9Ry05Y,9,19,train,0
"air drumming",ovRAApMGpoQ,2,12,train,0
"air drumming",pYFyc6zvhbk,40,50,train,0
"air drumming",QrnYKQ1SaEY,231,241,train,0
"air drumming",QzShK6CcCNI,62,72,train,0
"air drumming",T5qq2yWyeZ8,3,13,train,0
"air drumming",tIwFUeGq2s4,0,10,train,0
"air drumming",u5N9Q-n2ro0,418,428,train,0
"air drumming",vdSTs2BLrYU,17,27,train,0
"air drumming",WWkpigAu2Nc,12,22,train,0
"air drumming",Y5ZPORPGDqE,58,68,train,0
"air drumming",Y7EqOV6BXdI,107,117,train,0
"air drumming",z-MimljOFjQ,48,58,train,0
"air drumming",ZZTB1SPRQSg,7,17,train,0
"answering questions",7c9qpf-hZg8,55,65,train,0
"answering questions",8WG7U7ibCzg,119,129,train,0
"answering questions",CSK7zxuD7Do,229,239,train,0
"answering questions",cSX-L1mjFtA,21,31,train,0
"answering questions",D2Q1xLn9W14,156,166,train,0
"answering questions",dp9h7Z3cbSw,1074,1084,train,0
"answering questions",E1OWM3VMoqA,24,34,train,0
"answering questions",E1PLujTA6uQ,705,715,train,0
"answering questions",GuLcUQA3Gbk,159,169,train,0
"answering questions",j533YTwUZuk,4,14,train,0
"answering questions",ml1VUoY6FBo,120,130,train,0
"answering questions",mlxw_Djy2hA,15,25,train,0
"answering questions",MVKSrt65Dq4,314,324,train,0
"answering questions",nzm4FepH3xY,176,186,train,0
"answering questions",nzvPTO8zovg,790,800,train,0
"answering questions",oyKbgbgoaQA,432,442,train,0
"answering questions",r0zS_OZ8ZhA,433,443,train,0
"answering questions",RVd352iTOsk,0,10,train,0
"answering questions",rYnlHgqatn4,416,426,train,0
"answering questions",TizRz-o3Xhw,150,160,train,0
"answering questions",U6pfmjUbMZ0,19,29,train,0
"answering questions",wdj6csWuYoE,10,20,train,0
"answering questions",wuk7tW8kHJc,15,25,train,0
"answering questions",z6D-jroEZ74,13,23,train,0
"answering questions",zpoveMbpISA,2,12,train,0
"answering questions",zvNaQLmf8rU,51,61,train,0
applauding,0CC4dMLmupQ,1,11,train,0
applauding,1UqN3hbK7x4,3,13,train,0
applauding,2emrOciST7I,14,24,train,0
applauding,47PiOyyVXwU,80,90,train,0
applauding,5vu13nFLj-I,0,10,train,0
applauding,95UBPjOjqFQ,0,10,train,0
applauding,BHZ-s9HrsfU,15,25,train,0
applauding,C9xK3ICrMZg,0,10,train,0
applauding,Dd4Rn8pWG2Q,3,13,train,0
applauding,ExNoiNIQaVU,8,18,train,0
applauding,f8sViEax5YA,47,57,train,1
